CaseStudyID	UKPRN
5572	10006842
5573	10006842
5574	10006842
5577	10006842
5729	10007855
5730	10007855
5731	10007855
5732	10007855
5733	10007855
5763	10004180
5792	10007855
5793	10007855
5794	10007855
5798	10007855
5800	10007855
5801	10007855
5819	10001282
5820	10001282
5821	10001282
5823	10001282
5838	10007855
5842	10007855
5843	10007855
5844	10007855
5845	10007855
5846	10007855
5847	10007855
5848	10007855
5849	10007855
5850	10007855
5899	10007855
5900	10007855
5901	10007855
5902	10007855
5903	10007855
5904	10007855
5906	10007855
5908	10007855
5909	10007855
5912	10007855
5913	10007855
5966	10004113
5967	10006299
5968	10006299
5976	10004113
6025	10007774
6026	10007774
6027	10007773
6028	10007774
6029	10007774
6030	10007774
6031	10007774
6239	10007767
6244	10007767
6262	10007767
6264	10007767
6265	10007767
6266	10007767
6268	10007767
6269	10007767
6270	10007767
6271	10007767
6272	10007767
6273	10007767
6274	10007767
6275	10007767
6276	10007767
6277	10007767
6280	10007767
6281	10007767
6282	10007767
6283	10007767
6284	10007767
6296	10007795
6297	10007795
6298	10007795
6301	10007795
6302	10007795
6303	10007795
6304	10007795
6305	10007795
6307	10007795
6308	10007795
6309	10007795
6310	10007795
6311	10007795
6313	10007795
6314	10007795
6318	10007795
6320	10007795
6321	10007795
6322	10007795
6323	10007795
6324	10007795
6325	10007795
6326	10007795
6327	10007795
6328	10007795
6329	10007795
6330	10007795
6331	10007795
6332	10007795
6333	10007795
6337	10007795
6339	10007795
6340	10007795
6341	10007795
6342	10007795
6343	10007795
6344	10007795
6345	10007795
6346	10007795
6347	10007795
6348	10007795
6350	10007795
6351	10007795
6352	10007795
6353	10007795
6354	10007795
6355	10007795
6356	10007795
6357	10007795
6358	10007795
6359	10007795
6360	10007795
6361	10007795
6364	10007795
6365	10007795
6366	10007795
6367	10007795
6369	10007795
6370	10007795
6372	10007795
6373	10007795
6374	10007795
6375	10007795
6376	10007795
6377	10007795
6378	10007795
6380	10007795
6381	10007795
